SpO2	VT	Fb	VI	Systolic	Diastolic	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Barometric Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
%	L	BPM	L/min	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	s
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6587677	0.636301279	-0.020833334	53.89739227	31.96393013	62.32358932	729.4879761	4244.33301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6367798	0.634030938	-0.16015625	53.89739227	31.96393013	62.32358932	729.4879761	4244.36301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6807404	0.615867794	-0.09375	53.89739227	31.96393013	62.32358932	729.4879761	4244.40301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6807404	0.624949336	-0.2890625	53.89739227	31.96393013	62.32358932	729.4879761	4244.43301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6807404	0.634030938	0.138020828	53.89739227	31.96393013	62.32358932	729.4879761	4244.45301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.7906342	0.638571739	0.193749994	53.89739227	31.96393013	62.32358932	729.4879761	4244.51301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5708466	0.647653222	-0.171875	53.89739227	31.74100113	62.32358932	729.4879761	4244.53801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4829407	0.64084208	0.211805552	53.89739227	31.74100113	62.32358932	729.4879761	4244.55801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.2631683	0.634030938	-0.25	54.49149323	31.74100113	62.32358932	729.4879761	4244.60301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4389801	0.624949336	0.182291672	54.49149323	31.74100113	62.32358932	729.4879761	4244.62301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5049133	0.631760597	0.067708336	54.49149323	31.74100113	62.32358932	729.4879761	4244.65301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.460968	0.64311254	0.245000005	54.49149323	31.74100113	62.32358932	729.4879761	4244.68301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.647653222	0	54.49149323	31.74100113	62.32358932	729.4879761	4244.80801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.2631683	0.629490137	-0.072916664	54.49149323	31.74100113	62.32358932	729.4879761	4244.84301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4829407	0.581811905	-0.106250003	54.49149323	31.74100113	62.32358932	729.4879761	4244.87301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5708466	0.609056652	-0.120535716	54.49149323	31.74100113	62.32358932	729.4879761	4244.89801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4829407	0.631760597	-0.28125	54.49149323	31.74100113	62.32358932	729.4879761	4244.93301
