SpO2	VT	Fb	VI	Systolic	Diastolic	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Barometric Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
%	L	BPM	L/min	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	s
96.3125	-0.9286232	11.94029808	12.21057987	141.7859344	50.84367371	0.044970512	-0.035891801	-0.798118591	91.46169281	39.94130707	73.26313019	61.70218658	29.98920441	62.80786133	729.4879761	4853.63801
96.28125	-0.806157708	12.06030178	10.70680332	148.1856689	37.4473114	0.038162112	-0.014109223	-0.369718075	93.0660553	39.82097626	60.61172867	51.2174263	26.87516403	64.66493988	729.4879761	4858.66301
96.4375	-0.821023822	12.65822792	11.44485474	131.210556	33.57747269	0.040127635	-0.002513431	-0.062635906	92.05508423	40.75864792	53.5160675	50.64474487	25.7054081	67.27827454	729.4879761	4863.63801
96.34375	-0.534495115	15.89404011	9.355341911	136.2603455	42.43283081	0.032828689	-0.003667327	-0.11171104	91.72541809	40.66102219	62.99935913	52.29449844	26.23685837	56.15108109	729.4879761	4868.37801
96.25	-1.15978682	11.85770798	15.14469528	124.2209473	39.17279434	0.050554276	-0.007833523	-0.15495272	88.91226959	41.88249207	56.88843918	56.63144684	27.43376923	65.13535309	729.4879761	4872.15301
96.59375	-0.715582848	8.60832119	6.783596516	137.0080719	44.7734375	0.026029468	-0.004543233	-0.17454192	94.53855896	39.42592621	66.70589447	56.68152618	31.25277138	59.39751434	729.4879761	4877.21301
96.4375	-1.812927127	5.199306965	10.38024044	121.5103455	45.83314896	0.033654571	-0.005873841	-0.174533233	90.69245911	40.82221603	69.7895813	58.75096512	26.640625	58.64325714	729.4879761	4884.18301
96.28125	-1.275473356	9.146341324	12.84696102	161.9056091	54.26924896	0.043535233	-0.003483552	-0.080016859	97.35170746	38.31116867	78.04524231	66.04843903	38.78853989	60.55518723	729.4879761	4895.72301
96.28125	-1.34198463	7.736943722	11.43401051	140.8985138	34.98698044	0.039889812	-0.002884295	-0.072306566	98.5165329	39.14894104	56.03915024	48.95678711	25.77280807	69.4828186	729.4879761	4902.28301
97.46875	-1.389782906	9.516257286	14.5644722	125.1440582	33.57747269	0.021898031	-0.00987112	-0.450776577	98.27477264	39.61210251	55.03854752	48.40039063	25.55399323	71.0524292	729.4879761	4910.03801
