Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Ambient Temp	Humidity	Barometric Pressure	Water Vapour Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
L/s	%O2	%CO2	mmHg	V	%	 	%	cm/s	cm/s	L	L	BPM	L/min	L/min	%CO2	V	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	°C	%	mmHg	mmHg	s
0.01371037588	12.86503963	6.153624516	85.6875	-2.018149539	96.34375	15.89020343	3.720024443	79.0625	56.71875	1.824069262	-1.733878016	5.794302464	11.02133179	10.82805347	20.97999954	0.03999999911	42.71228027	82.90106201	0.4694811106	0.3161195815	0.6733382344	88.09644318	42.1384201	86.26263428	75.70259094	56.97346497	67.07541656	26.79999924	20	731.7739868	5.280827045	1165.381479
0.0190421883	12.89538764	6.256766291	106.15625	-2.018125739	96.59375	16.12143283	3.522847018	84.96875	63.5625	1.865217328	-1.866581917	5.194805145	10.63728237	10.45516872	20.97999954	0.03999999911	43.06542206	87.2651825	0.4333804846	0.2888771296	0.6665670276	88.30426025	42.8447113	89.42801666	73.33106995	55.28684998	69.30312347	26.79999924	20	731.7739868	5.280827045	1175.736479
0.01675712503	12.71329959	6.363131246	114.96875	-2.018101938	96.28125	16.69950634	3.532882995	94.78125	63.6875	1.880949497	-1.884178519	6.413682461	13.25695705	13.12605953	20.97999954	0.03999999911	43.63927841	86.64173126	0.4676139355	0.3637503088	0.7778859735	87.05736542	43.57306671	86.7143631	81.76729584	57.7378273	70.51277161	26.79999924	20	731.7739868	5.280827045	1187.286479
0.01218699943	13.77547989	6.098830448	99.75	-2.017625925	96.5625	16.59014108	3.503955768	101.71875	77	1.688184977	-1.89471972	5.982053757	12.43396568	12.28988743	20.97999954	0.03999999911	43.63927841	86.64173126	0.4520728588	0.3377505541	0.747115314	94.3309021	41.76320267	88.77536774	76.29532623	54.50050735	66.84474182	26.79999924	20	731.7739868	5.280827045	1196.641479
0.01828049868	13.28991175	6.140731794	78.125	-2.018149539	96.25	16.53077137	3.607857644	75.1875	52.8125	2.003856182	-2.036118507	6.626173496	14.80063057	14.63728714	20.97999954	0.03999999911	42.22670746	90.38240814	0.5439411402	0.414331913	0.7617219687	91.00585938	42.05013275	83.44854736	77.47940063	52.81197739	66.68113708	26.79999924	20	731.7739868	5.280827045	1206.671479
0.007616875228	13.25956375	6.076268185	68.0625	-2.017387918	97.375	16.91823685	3.477980298	58.09375	45.09375	1.831658244	-1.760043621	5.733397007	11.07005596	10.98330879	20.97999954	0.03999999911	42.24877548	90.17459869	0.3684239388	0.2995927036	0.8131738305	90.79803467	41.60870361	82.89676666	73.84228516	56.2298317	74.05685425	26.79999924	20	731.7739868	5.280827045	1215.726479
0.01980387419	12.31877548	6.269659013	97.1875	-2.017911533	96.34375	16.72137939	3.562990925	86.84375	57.5625	1.989807248	-1.994971991	6.157003403	13.47474575	13.35039806	20.97999954	0.03999999911	42.99920654	83.73233032	0.4718260765	0.3731594086	0.7908834219	84.3557663	42.93299484	82.4009552	78.12865448	53.95011139	70.41588593	26.79999924	20	731.7739868	5.280827045	1226.191479
0.01294868719	12.0456434	6.292221276	83.0625	-2.017649726	96.28125	16.44952861	3.597231316	77.4375	49.84375	1.939362645	-1.891341686	6.079027176	12.61300182	12.45946789	20.97999954	0.03999999911	43.30820847	81.23854065	0.4734554291	0.3516300619	0.7426888347	82.48543549	43.0874939	82.61793518	76.3086853	55.91089249	69.42483521	26.79999924	20	731.7739868	5.280827045	1235.936479
0.009901937097	12.16703544	6.259989471	83.53125	-2.017744928	96.5625	15.86208094	3.913659759	71.6875	49.3125	1.898335814	-1.89232111	6.342494488	13.16646862	12.96225929	20.97999954	0.03999999911	43.3302803	82.48543549	0.5603861809	0.3983512521	0.7108513117	83.31668854	42.86677551	85.0094986	75.13929749	53.65430832	67.96799469	26.79999924	20	731.7739868	5.280827045	1245.806479
0.01751881279	12.34912349	6.266435832	103.125	-2.017744928	96.3125	15.70896958	3.63265241	90.8125	60.625	1.983140111	-1.91377461	6.3157897	13.25967312	12.98375988	20.97999954	0.03999999911	42.97713852	83.94013977	0.5889700651	0.370039016	0.6282815337	84.563591	42.910923	84.3421936	77.05504608	53.55826187	68.19766998	26.79999924	20	731.7739868	5.280827045	1255.266479
